timestamp,ambient_temp_f,precipitation_in,wind_speed_mph,humidity_pct,ground_temp_f,frost_heave_risk
2025-12-01T00:00:00,48.5,0,6.7,45.9,33.5,No
2025-12-01T01:00:00,51.0,0,8.5,50.6,36.9,No
2025-12-01T02:00:00,73.6,0,4.7,54.9,61.5,No
2025-12-01T03:00:00,41.0,0,10.2,85.4,24.6,Yes
2025-12-01T04:00:00,47.0,0.05,9.9,62.8,30.9,Yes
2025-12-01T05:00:00,56.3,0,11.2,58.8,41.5,No
2025-12-01T06:00:00,56.4,0,2.0,78.3,34.4,No
2025-12-01T07:00:00,48.8,0,10.8,90.0,33.2,No
2025-12-01T08:00:00,47.8,0,3.9,92.3,37.9,No
2025-12-01T09:00:00,56.7,0,0.9,56.1,42.8,No
2025-12-01T10:00:00,44.3,0,6.5,90.2,32.4,No
2025-12-01T11:00:00,43.1,0,6.4,40.8,28.4,Yes
2025-12-01T12:00:00,45.3,0,4.5,35.9,26.7,Yes
2025-12-01T13:00:00,60.7,0,11.0,94.8,43.9,No
2025-12-01T14:00:00,57.5,0,3.8,36.6,40.6,No
2025-12-01T15:00:00,55.1,0,10.0,31.9,47.5,No
2025-12-01T16:00:00,61.4,0,1.0,69.1,39.6,No
2025-12-01T17:00:00,62.7,0,3.9,86.9,41.1,No
2025-12-01T18:00:00,49.0,0,9.7,45.4,34.2,No
2025-12-01T19:00:00,46.0,0,9.6,66.9,23.9,Yes
2025-12-01T20:00:00,57.6,0,10.6,55.7,41.2,No
2025-12-01T21:00:00,57.6,0,10.3,83.5,44.1,No
2025-12-01T22:00:00,59.6,0,8.2,68.4,46.7,No
2025-12-01T23:00:00,61.1,0,3.5,62.2,48.3,No
2025-12-02T00:00:00,66.4,0,7.1,43.5,49.2,No
2025-12-02T01:00:00,52.3,0,3.7,42.0,31.4,Yes
2025-12-02T02:00:00,54.0,0,8.7,38.7,36.4,No
2025-12-02T03:00:00,42.4,0,11.8,74.9,31.9,Yes
2025-12-02T04:00:00,60.9,0,5.7,45.4,44.0,No
2025-12-02T05:00:00,45.9,0.12,9.1,69.2,31.3,Yes
2025-12-02T06:00:00,66.9,0,0,48.7,53.9,No
2025-12-02T07:00:00,55.1,0,3.2,57.7,37.0,No
2025-12-02T08:00:00,49.4,0,9.5,33.8,36.0,No
2025-12-02T09:00:00,59.2,0,6.1,32.5,45.6,No
2025-12-02T10:00:00,48.0,0.21,7.3,93.4,29.2,Yes
2025-12-02T11:00:00,48.8,0.0,6.0,89.8,37.2,No
2025-12-02T12:00:00,64.9,0.06,2.1,33.9,51.9,No
2025-12-02T13:00:00,45.9,0,14.1,75.9,28.2,Yes
2025-12-02T14:00:00,61.2,0,5.6,45.0,48.0,No
2025-12-02T15:00:00,64.0,0,5.3,75.3,46.4,No
2025-12-02T16:00:00,61.3,0,5.6,39.4,51.2,No
2025-12-02T17:00:00,49.3,0,0,76.5,33.0,No
2025-12-02T18:00:00,47.4,0,7.6,78.3,32.1,No
2025-12-02T19:00:00,56.3,0,11.7,72.1,41.2,No
2025-12-02T20:00:00,46.8,0,11.5,89.4,33.5,No
2025-12-02T21:00:00,49.8,0,13.6,63.1,36.1,No
2025-12-02T22:00:00,50.4,0,3.6,87.6,37.5,No
2025-12-02T23:00:00,63.8,0,10.5,93.5,50.6,No
2025-12-03T00:00:00,56.9,0.0,5.3,58.5,40.2,No
2025-12-03T01:00:00,57.8,0,0,63.3,42.9,No
2025-12-03T02:00:00,51.6,0,10.3,66.7,41.2,No
2025-12-03T03:00:00,50.4,0,14.6,70.6,34.7,No
2025-12-03T04:00:00,45.8,0,10.6,87.1,28.4,Yes
2025-12-03T05:00:00,45.4,0,5.6,36.4,29.5,Yes
2025-12-03T06:00:00,50.3,0,9.6,57.7,33.3,No
2025-12-03T07:00:00,63.9,0,9.5,76.7,51.9,No
2025-12-03T08:00:00,53.3,0,12.4,44.9,41.9,No
2025-12-03T09:00:00,42.4,0.06,9.1,42.5,24.8,Yes
2025-12-03T10:00:00,63.5,0,6.9,58.7,48.4,No
2025-12-03T11:00:00,53.3,0.08,8.8,82.3,35.7,No
2025-12-03T12:00:00,42.6,0,5.6,50.3,28.1,Yes
2025-12-03T13:00:00,56.6,0,0,41.7,38.7,No
2025-12-03T14:00:00,42.5,0.12,5.6,68.3,23.8,Yes
2025-12-03T15:00:00,58.7,0.11,5.0,54.5,40.2,No
2025-12-03T16:00:00,56.8,0.05,0,57.3,39.5,No
2025-12-03T17:00:00,53.4,0,11.1,68.2,37.0,No
2025-12-03T18:00:00,63.4,0,5.3,71.9,48.6,No
2025-12-03T19:00:00,40.8,0,5.5,48.8,26.1,Yes
2025-12-03T20:00:00,47.0,0,2.4,73.9,29.9,Yes
2025-12-03T21:00:00,56.1,0,9.8,57.8,40.7,No
2025-12-03T22:00:00,46.0,0,7.8,84.5,35.6,No
2025-12-03T23:00:00,53.9,0,7.2,34.6,43.2,No
2025-12-04T00:00:00,55.0,0,11.3,56.5,43.5,No
2025-12-04T01:00:00,58.0,0,12.2,61.4,47.2,No
2025-12-04T02:00:00,57.6,0,6.1,60.0,43.4,No
2025-12-04T03:00:00,40.7,0,12.0,87.9,29.3,Yes
2025-12-04T04:00:00,60.5,0,3.2,43.5,41.5,No
2025-12-04T05:00:00,57.4,0,8.9,48.2,37.2,No
2025-12-04T06:00:00,45.7,0,4.4,61.3,27.5,Yes
2025-12-04T07:00:00,43.0,0,7.2,94.3,27.2,Yes
2025-12-04T08:00:00,49.1,0,8.1,36.4,35.7,No
2025-12-04T09:00:00,50.7,0,5.1,46.4,32.8,No
2025-12-04T10:00:00,54.1,0,3.8,78.8,36.7,No
2025-12-04T11:00:00,53.6,0.18,4.3,80.8,36.0,No
2025-12-04T12:00:00,42.8,0,8.1,33.0,28.5,Yes
2025-12-04T13:00:00,38.6,0,1.0,63.3,21.7,Yes
2025-12-04T14:00:00,63.3,0.0,11.2,36.2,47.5,No
2025-12-04T15:00:00,39.8,0,12.7,32.0,23.7,Yes
2025-12-04T16:00:00,51.8,0,11.9,69.4,39.9,No
2025-12-04T17:00:00,42.8,0,9.1,49.7,25.4,Yes
2025-12-04T18:00:00,55.6,0,10.0,43.7,40.6,No
2025-12-04T19:00:00,63.1,0.12,8.2,70.8,43.9,No
2025-12-04T20:00:00,62.2,0,1.1,93.8,46.8,No
2025-12-04T21:00:00,57.8,0,7.3,34.6,44.3,No
2025-12-04T22:00:00,49.1,0.05,4.9,43.1,36.1,No
2025-12-04T23:00:00,66.9,0,0.9,47.7,53.0,No
2025-12-05T00:00:00,50.7,0,5.2,43.9,32.5,No
2025-12-05T01:00:00,46.6,0,9.4,31.2,34.9,No
2025-12-05T02:00:00,64.1,0,13.8,78.7,49.8,No
2025-12-05T03:00:00,52.7,0,2.1,34.8,35.9,No
2025-12-05T04:00:00,50.3,0,8.8,57.6,35.1,No
2025-12-05T05:00:00,46.2,0,4.9,30.9,32.2,No
2025-12-05T06:00:00,60.9,0,4.2,58.4,48.1,No
2025-12-05T07:00:00,54.8,0,12.6,64.9,41.7,No
2025-12-05T08:00:00,42.9,0.02,6.7,46.1,27.5,Yes
2025-12-05T09:00:00,56.8,0,8.2,42.5,45.5,No
2025-12-05T10:00:00,67.6,0,6.2,40.7,55.4,No
2025-12-05T11:00:00,63.3,0,2.0,87.9,43.5,No
2025-12-05T12:00:00,53.4,0,2.6,39.9,40.9,No
2025-12-05T13:00:00,48.4,0.04,12.7,40.5,41.1,No
2025-12-05T14:00:00,55.5,0,14.4,93.3,39.7,No
2025-12-05T15:00:00,61.2,0,0,65.8,47.6,No
2025-12-05T16:00:00,54.9,0,11.5,70.8,38.9,No
2025-12-05T17:00:00,56.6,0,12.8,37.0,42.2,No
2025-12-05T18:00:00,56.9,0,13.8,90.1,48.0,No
2025-12-05T19:00:00,45.1,0,7.4,86.6,33.5,No
2025-12-05T20:00:00,60.8,0.12,7.0,63.0,46.7,No
2025-12-05T21:00:00,64.6,0.11,4.8,74.8,46.9,No
2025-12-05T22:00:00,65.1,0,12.2,80.7,47.0,No
2025-12-05T23:00:00,58.7,0,8.0,54.3,43.2,No
2025-12-06T00:00:00,53.7,0.03,10.2,75.7,43.2,No
2025-12-06T01:00:00,54.0,0,15.0,37.3,38.4,No
2025-12-06T02:00:00,58.7,0,9.5,70.9,42.3,No
2025-12-06T03:00:00,55.0,0,14.9,50.6,38.5,No
2025-12-06T04:00:00,63.2,0,6.1,34.1,48.6,No
2025-12-06T05:00:00,53.1,0,7.4,83.6,30.9,Yes
2025-12-06T06:00:00,47.1,0,12.7,65.6,34.7,No
2025-12-06T07:00:00,58.4,0,3.0,65.2,39.3,No
2025-12-06T08:00:00,60.7,0,8.1,76.7,51.3,No
2025-12-06T09:00:00,64.1,0,11.1,47.4,44.9,No
2025-12-06T10:00:00,43.7,0,5.7,68.2,31.7,Yes
2025-12-06T11:00:00,58.0,0.01,14.0,51.1,45.8,No
2025-12-06T12:00:00,44.5,0,3.4,40.7,31.6,Yes
2025-12-06T13:00:00,70.5,0,7.4,75.5,54.7,No
2025-12-06T14:00:00,58.1,0,12.3,52.3,44.0,No
2025-12-06T15:00:00,60.3,0.08,8.2,56.9,48.0,No
2025-12-06T16:00:00,70.6,0,9.6,34.2,55.1,No
2025-12-06T17:00:00,57.5,0,4.5,72.8,46.0,No
2025-12-06T18:00:00,44.4,0,10.6,69.6,30.4,Yes
2025-12-06T19:00:00,59.2,0,7.5,80.8,41.6,No
2025-12-06T20:00:00,54.1,0,9.6,91.7,41.3,No
2025-12-06T21:00:00,52.7,0,7.2,55.6,36.3,No
2025-12-06T22:00:00,48.0,0,8.5,41.6,31.3,Yes
2025-12-06T23:00:00,46.6,0.08,7.8,73.4,31.4,Yes
2025-12-07T00:00:00,63.8,0,11.3,64.3,47.7,No
2025-12-07T01:00:00,60.9,0,0,50.5,46.8,No
2025-12-07T02:00:00,45.5,0,12.0,44.5,30.4,Yes
2025-12-07T03:00:00,56.3,0,1.1,49.4,39.2,No
2025-12-07T04:00:00,48.4,0,7.3,84.4,32.8,No
2025-12-07T05:00:00,54.7,0,2.8,75.1,39.2,No
2025-12-07T06:00:00,60.1,0,2.4,66.9,46.8,No
2025-12-07T07:00:00,59.2,0,4.6,32.2,41.5,No
2025-12-07T08:00:00,52.8,0,2.5,79.6,30.5,Yes
2025-12-07T09:00:00,69.0,0,13.6,69.8,51.5,No
2025-12-07T10:00:00,54.6,0.12,6.7,55.9,38.3,No
2025-12-07T11:00:00,34.4,0,5.9,71.0,16.5,Yes
2025-12-07T12:00:00,57.3,0.05,13.9,50.3,41.3,No
2025-12-07T13:00:00,55.5,0,6.7,36.5,41.1,No
2025-12-07T14:00:00,54.5,0,11.5,47.3,37.2,No
2025-12-07T15:00:00,44.9,0,12.5,30.9,30.3,Yes
2025-12-07T16:00:00,46.6,0,4.8,83.8,30.5,Yes
2025-12-07T17:00:00,55.1,0,12.5,78.0,42.0,No
2025-12-07T18:00:00,43.3,0.18,8.7,54.2,20.5,Yes
2025-12-07T19:00:00,66.3,0,12.0,39.0,53.1,No
2025-12-07T20:00:00,46.1,0,11.4,50.9,34.0,No
2025-12-07T21:00:00,56.9,0,14.0,68.3,44.0,No
2025-12-07T22:00:00,45.8,0,11.3,64.4,29.4,Yes
2025-12-07T23:00:00,60.0,0,12.0,43.6,40.7,No
2025-12-08T00:00:00,56.8,0,12.5,58.6,43.7,No
2025-12-08T01:00:00,46.9,0,14.4,81.3,34.1,No
2025-12-08T02:00:00,59.5,0.11,4.9,51.2,48.5,No
2025-12-08T03:00:00,55.9,0,0,81.7,34.8,No
2025-12-08T04:00:00,51.9,0,8.8,54.7,40.4,No
2025-12-08T05:00:00,57.3,0.11,5.0,54.0,42.3,No
2025-12-08T06:00:00,47.5,0,7.5,76.7,33.1,No
2025-12-08T07:00:00,56.6,0.26,4.3,41.6,38.5,No
2025-12-08T08:00:00,53.8,0,7.5,71.2,42.0,No
2025-12-08T09:00:00,54.4,0,4.8,43.2,39.4,No
2025-12-08T10:00:00,56.1,0,5.9,65.5,44.2,No
2025-12-08T11:00:00,43.7,0,8.6,39.8,28.5,Yes
2025-12-08T12:00:00,64.1,0,9.4,32.6,49.4,No
2025-12-08T13:00:00,51.8,0,13.3,46.8,35.8,No
2025-12-08T14:00:00,51.6,0.05,15.9,46.6,37.9,No
2025-12-08T15:00:00,60.8,0,2.8,49.0,46.8,No
2025-12-08T16:00:00,58.3,0,5.4,38.0,52.0,No
2025-12-08T17:00:00,53.4,0,6.2,62.4,34.6,No
2025-12-08T18:00:00,68.8,0,4.9,58.7,50.7,No
2025-12-08T19:00:00,56.2,0,12.5,88.9,39.1,No
2025-12-08T20:00:00,57.8,0,8.2,71.5,36.0,No
2025-12-08T21:00:00,59.7,0,0,38.6,42.5,No
2025-12-08T22:00:00,61.8,0,2.7,65.1,48.0,No
2025-12-08T23:00:00,48.8,0.17,9.0,62.3,37.5,No
2025-12-09T00:00:00,63.2,0,8.9,92.8,46.2,No
2025-12-09T01:00:00,50.5,0,8.4,32.7,32.1,No
2025-12-09T02:00:00,58.2,0.1,2.5,41.1,41.9,No
2025-12-09T03:00:00,53.9,0,6.3,41.7,35.3,No
2025-12-09T04:00:00,50.8,0,16.1,88.3,37.6,No
2025-12-09T05:00:00,54.8,0,3.9,47.4,39.9,No
2025-12-09T06:00:00,56.0,0.17,4.4,51.3,47.6,No
2025-12-09T07:00:00,57.6,0,8.0,38.8,42.1,No
2025-12-09T08:00:00,51.9,0,5.6,52.8,39.0,No
2025-12-09T09:00:00,59.5,0,5.9,76.5,39.4,No
2025-12-09T10:00:00,49.3,0,16.5,55.0,33.7,No
2025-12-09T11:00:00,51.3,0,5.2,86.9,33.2,No
2025-12-09T12:00:00,70.5,0,4.5,71.2,54.5,No
2025-12-09T13:00:00,54.4,0.01,5.8,66.2,39.4,No
2025-12-09T14:00:00,56.6,0,8.3,70.8,44.3,No
2025-12-09T15:00:00,64.2,0.07,6.6,64.0,45.0,No
2025-12-09T16:00:00,52.0,0,5.4,88.2,35.0,No
2025-12-09T17:00:00,56.9,0,9.8,57.3,37.6,No
2025-12-09T18:00:00,53.1,0,11.1,55.2,36.6,No
2025-12-09T19:00:00,48.2,0,10.2,41.2,30.2,Yes
